-92, -802, 565
-118, -867, 553
-132, -852, 545
-113, -809, 636
-122, -810, 643
-143, -870, 609
-206, -958, 688
-285, -1081, 765
-339, -1159, 822
-409, -1231, 878
-495, -1305, 884
-569, -1299, 908
-672, -1339, 956
-738, -1353, 985
-715, -1234, 891
-667, -1088, 725
-667, -1088, 725
-617, -936, 620
-578, -837, 532
-529, -748, 525
-485, -668, 505
-456, -602, 457
-397, -525, 403
-286, -408, 348
-198, -352, 283
-176, -389, 296
-165, -429, 287
-142, -432, 258
-138, -459, 239
-100, -454, 204
-49, -434, 196
-49, -434, 196
-10, -426, 205
1, -462, 236
16, -489, 253
90, -441, 244
155, -399, 237
155, -399, 237
178, -408, 235
156, -458, 270
163, -516, 333
222, -501, 361
248, -501, 382
276, -500, 436
311, -519, 411
311, -519, 411
314, -551, 433
328, -594, 573
410, -596, 668
498, -615, 652
511, -723, 694
463, -932, 792
480, -1063, 948
480, -1063, 948
554, -1103, 1129
600, -1115, 1223
-,-,-
-111, -934, 397
-111, -934, 397
-106, -970, 414
-61, -801, 559
-31, -751, 631
-134, -895, 607
-224, -1033, 644
-307, -1151, 711
-398, -1265, 794
-440, -1302, 883
-457, -1281, 879
-450, -1258, 802
-427, -1214, 802
-430, -1178, 819
-465, -1169, 820
-510, -1172, 775
-437, -1067, 638
-349, -893, 552
-344, -818, 431
-364, -804, 389
-326, -760, 460
-225, -638, 484
-225, -638, 484
-122, -511, 459
-104, -506, 361
-156, -568, 330
-179, -602, 324
-122, -536, 349
-74, -482, 363
-76, -518, 317
-49, -515, 299
5, -459, 280
5, -459, 280
11, -475, 258
-34, -560, 252
-22, -553, 266
41, -494, 259
118, -419, 343
118, -419, 343
172, -402, 318
258, -372, 260
337, -366, 257
387, -349, 287
411, -370, 302
391, -498, 384
390, -592, 476
390, -592, 476
451, -612, 502
503, -631, 511
580, -651, 495
632, -712, 552
665, -784, 757
636, -919, 898
592, -1126, 1016
596, -1234, 1138
596, -1234, 1138
-,-,-
-128, -897, 535
-91, -739, 514
-47, -698, 690
-47, -698, 690
-78, -827, 658
-103, -874, 655
-84, -874, 717
-90, -892, 688
-104, -934, 726
-103, -959, 817
-97, -967, 877
-233, -1124, 957
-453, -1338, 1012
-550, -1360, 975
-622, -1328, 916
-715, -1321, 854
-716, -1216, 799
-686, -1075, 764
-680, -966, 676
-680, -966, 676
-649, -882, 628
-551, -767, 653
-435, -642, 601
-392, -618, 559
-368, -622, 543
-321, -605, 476
-237, -527, 462
-165, -469, 426
-99, -399, 357
-50, -380, 340
-24, -384, 275
-24, -384, 275
0, -370, 241
16, -390, 253
77, -347, 223
144, -308, 199
154, -339, 224
154, -339, 224
167, -347, 218
226, -287, 234
279, -250, 266
266, -310, 256
230, -384, 289
215, -444, 291
217, -490, 367
217, -490, 367
227, -522, 431
282, -514, 538
356, -530, 688
406, -589, 747
416, -734, 734
397, -872, 786
422, -945, 792
422, -945, 792
528, -935, 836
616, -969, 1085
-,-,-
-70, -771, 685
-123, -881, 580
-115, -880, 635
-107, -884, 769
-160, -969, 851
-196, -1018, 833
-196, -1018, 833
-244, -1053, 795
-307, -1128, 804
-352, -1193, 839
-349, -1184, 904
-318, -1114, 893
-321, -1087, 840
-397, -1119, 774
-478, -1139, 728
-460, -1015, 733
-420, -860, 700
-416, -800, 662
-434, -766, 642
-421, -728, 598
-383, -700, 562
-354, -652, 549
-323, -625, 523
-275, -585, 479
-233, -565, 456
-213, -590, 426
-147, -542, 419
-83, -486, 405
-83, -486, 405
-51, -458, 372
-73, -497, 268
-97, -531, 219
-78, -512, 189
-9, -437, 198
67, -391, 227
67, -391, 227
158, -326, 209
217, -289, 233
222, -345, 288
244, -390, 357
295, -393, 421
350, -379, 400
350, -379, 400
412, -348, 345
450, -360, 346
443, -456, 377
455, -555, 464
497, -601, 530
559, -658, 565
574, -834, 724
574, -834, 724
-,-,-
-105, -755, 652
-147, -818, 553
-131, -775, 589
-98, -747, 629
-106, -785, 627
-133, -816, 656
-133, -816, 656
-145, -838, 695
-190, -895, 708
-282, -997, 772
-373, -1101, 813
-448, -1176, 873
-485, -1194, 899
-517, -1195, 940
-571, -1230, 1046
-610, -1237, 1131
-627, -1186, 1059
-599, -1077, 893
-543, -965, 754
-477, -863, 623
-415, -768, 518
-365, -699, 487
-335, -660, 430
-287, -589, 376
-208, -501, 329
-134, -423, 302
-103, -402, 281
-109, -423, 300
-109, -423, 300
-117, -467, 313
-78, -464, 310
-64, -484, 301
-78, -531, 323
-74, -549, 318
-72, -559, 281
-62, -523, 186
-13, -432, 204
-13, -432, 204
71, -382, 225
193, -349, 228
299, -305, 192
331, -316, 163
306, -397, 146
314, -447, 215
314, -447, 215
363, -480, 391
384, -518, 466
443, -472, 506
552, -496, 511
579, -621, 544
552, -808, 689
623, -876, 808
623, -876, 808
698, -915, 882
729, -957, 1031
678, -1119, 1114
-,-,-
-93, -751, 603
-108, -817, 609
-120, -800, 631
-96, -783, 668
-70, -773, 676
-70, -773, 676
-60, -766, 645
-80, -803, 697
